A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
Scranton	[3A]/'skrAntEn/	n. 斯克兰顿（美国宾夕法尼亚州东北部城市）
Scylla	[3A]/'silE/	n. 锡拉岩礁（靠近意大利一边的危险岩石）
Seagate	[0]	n. 希捷，希捷公司；希捷科技
Sean	[0]/FO:n	n. 肖恩（男子名）
Seattle	[3A]/si'Atl/	n. 西雅图（美国一港市）
Sebastian	[3A]/si'bAstjEn; -tFEn/	n. 塞巴斯蒂安（男子名）
Seiko	[0]/seikO	n. 日本精工株式会社（打印机生产商）
Selma	[3A]/'selmE/	n. 塞尔玛（女子名）
Seltzer	[3A]/'seltzE/'sCltzM	n. 德国赛尔脱兹的天然汽泡矿泉水；苏打水
Selwyn	[0]/'selwin	n. 塞尔温（男子名）
Seminole	[3A]/'seminEul/	n. 塞米诺族人；塞米诺语
Semite	[3A]/'semait/	n. 闪族人；闪米特人
Semitic	[3A]/si'mitik; se-/	adj. 闪米特人的；闪族语系的
Seneca	[3A]//'sCnIkE	n. 塞内卡族（位于纽约西部）；塞内卡语；塞内卡人
Senegal	[3A]/,senE'ɡO:l/	n. 塞内加尔（非洲国家）
Seoul	[3A]/sEul; 'sjE:ul/	n. 汉城，首尔（韩国首都）
September	[3A]/sep'tembE/sCp'tCmbM	n. 九月
Serbia	[3A]/'sE:biE/	n. 塞尔维亚（南斯拉夫成员共和国名）
Seth	[3A]/seIt/set	n. 赛斯（男子名）
Seville	[3A]/'sevil; sE'vil/	n. 塞维利亚 （西班牙地名）
Sextans	[0]/'sekstEnz; sek'stAnz	n. 六分仪座
Seymour	[3A]/'si:mO:/	n. 西摩（男子名）
Shan	[3A]//FBn; FAn	n. 掸人，掸族（居住在东南亚一带）；掸邦（前缅甸联邦的成员国之一）
Shane	[0]/Fein	n. 谢恩（女子名）
Shang	[0]/FAN	n. 商（中国古朝代名）
Shanghai	[2B]/,FAN'haI	n. 上海（中国东部港市）
Shapiro	[0]/FE'pirEu	n. 夏皮罗（姓氏）
Shari	[3A]/'FAri/	n. 莎丽（女子名）
Sharon	[0]/'FArEn	n. 莎伦（女子名）
Shasta	[3A]/'FAstE/	n. 沙士达山（美国加州北部山脉）；莎士达（全美第二大水坝）
Shawn	[3A]/FO:n/	n. 肖恩（男子、女子名）
Shawnee	[3A]/FO:'ni:/	n. 肖尼（美国城市）；美国萧尼族印第安人；萧尼语
Sheffield	[3A]/'Fefi:ld/	n. 谢菲尔德（英国城市）
Shelby	[0]/'Felbi	n. 谢尔比（男子名）
Sheldon	[0]/'FeldEn	n. 谢尔登（男子名）
Shelley	[3A]/'Feli/	n. 谢莉（女子名）
Shenzhen	[0]/'FRn'dGRN	n. 深圳
Sherman	[3A]/'FE:mEn/	n. 谢尔曼（男子名）
Sherwood	[3A]/'FE:wud/	n. 舍伍德（姓氏，男子名）
Shia	[0]/'FiE	n. 什叶；什叶派（等于Shiah）
Shiite	[3A]/'Fi:ait/	n. 什叶派教徒
Shiloh	[3A]/'FailEu/	n. 夏伊洛（美国田纳西州一国家公园）
Shinto	[3A]/'FintEu/	n. 日本的神道教（1945年前为日本国教 ）
Shirley	[3A]/'FE:li/	n. 雪莉（女子名）
Shockley	[0]/'FOkli	n. 肖克利（美国物理学家，曾获1956年诺贝尔物理学奖）
Shreveport	[0]/'Fri:vpO:t	n. 什里夫波特（美国路易斯安那州西北部城市）
Shylock	[3A]/'FailOk/	n. 夏洛克（莎士比亚《威尼斯商人》中的犹太放高利贷者）；冷酷无情的高利贷者
Si	[0]/'Cs 'ai	abbr. 硅（silicon）
Siam	[3A]/sai'Am; 'saiAm/	n. 暹罗
Sian	[0]/'Fi:'B:n	n. 西安（陕西省的省会）
Siberia	[3A]/sai'biEriE/	n. 西伯利亚
Siberian	[0]/sai'biEriEn	adj. 西伯利亚（人）的；来自西伯利亚的
Sicilian	[3A]/si'siljEn/	adj. 西西里岛的
Sicily	[3A]/'sisili/	n. 西西里岛（意大利一岛名）
Sidney	[3A]/'saidni/	n. 西德尼（男子名）；茜德尼（女子名）
Siemens	[3A]/'siDmEnz/'simEnz	n. [电] 西门子（财富500强公司之一，总部所在地德国，主要经营电子电气）
Siena	[3A]/si'enE/	n. 锡耶纳（意大利城市）
Sikh	[3A]//sik	n. 锡克教教徒
Sikkim	[3A]/'sikim/	n. 锡金（南亚国家）
Silas	[3A]/'sailEs/	n. 赛拉斯（男性名）
Silvia	[3A]/'silviE/	n. 西尔维亚（女子名）
Simon	[3A]/'saimEn/	n. 西蒙（男子名）
Simpson	[0]/'simpsn	n. 辛普森（姓氏）
Sinai	[3A]/'sainai; 'saini,ai/	n. 西奈
Sinbad	[3A]/'sinbAd/	n. 辛巴达（《天方夜谭》里的人物）（等于Sindbad）
Sind	[3A]/sind/	n. 信德（巴基斯坦的一个省名）
Singapore	[3A]/,siNɡE'pO:/	n. 新加坡
Singlish	[0]/'siNɡliF	n. 新加坡英语
Sion	[0]/'saiEn; sjO:N	n. 锡安；以色列人
Sioux	[0]/su:	adj. 苏人的；苏语的
Sirius	[3A]/'siEriEs/	n. [天] 天狼星
Sistine	[3A]/'sisti:n; -tain/	adj. 罗马教宗西克斯图斯的
Sisyphus	[3A]/'sisifEs/	n. 科林斯王（希腊暴君）
Siva	[3A]/'si:vE; 'si-; 'Fi:-; 'Fi-/	n. 湿婆（印度三大神中司破坏之神）；大自在天（司破坏及拯救的神）
Skopje	[3A]/'skO:pje/	n. 斯科普里（南斯拉夫东南部城市）
Skye	[0]/skai	n. 匐犬（一种猎狐犬）；斯凯岛（苏格兰西部的岛）
Slav	[3A]/slB:v; slAv/	adj. 斯拉夫人的；斯拉夫语的
Slavic	[3A]/'slB:vik; 'slA-/	adj. 斯拉夫的；斯拉夫语的
Sloan	[3A]/slEun/	n. 斯隆（姓氏）；麻省理工学院斯隆商学院
Sloane	[0]/'slEuni	n. 英国上流社会中衣着时髦的传统女子
Slovakia	[3A]/slEu'vAkiE; -'vB:k-/	n. 斯洛伐克（捷克斯洛伐克一地区）
Smith	[3A]/smIZ/smIZ	n. 史密斯（男子名）
Socrates	[3A]/'sOkrEti:z/	n. 苏格拉底（古希腊哲学家）
Socratic	[0]/sEu'krAtik	adj. （古希腊哲学家）苏格拉底的；问答法的
Sofia	[3A]/'sEufiE; sEu'fi:E/	n. 索非亚（保加利亚首都）
Solomon	[3A]/'sOlEmEn/	n. 所罗门（男子名）；所罗门（古以色列国王大卫之子，以智慧著称）；大智者，聪明人
Somali	[3A]//so'mBli	n. 索马里人；索马里语
Somalia	[3A]/sEu'mB:liE; -ljE/	n. 索马里（非洲）
Sonia	[0]/'sEunjE	n. 索尼亚（女子名）
Sonora	[3A]/'sLnErE/	n. 索诺拉省（墨西哥北部）；[气象] 索诺拉雷暴
Sophia	[3A]/sE'faiE/	n. 索菲娅（女子名）
Sophie	[0]/'sEufi	n. 索菲（女子名）
Sophy	[0]/'sEufi; 'sO-	n. 苏菲（古波斯统治者）
Sous	[0]/su:	n. 苏斯（摩洛哥地区）
Southampton	[3A]/sau'ZAmptEn; -'hAmp-; -'Amp-/	n. 南安普敦（英国港市）
Southey	[3A]/'sauTi, 'sRTi/	n. 骚塞（姓氏）
Spain	[3A]/spein/	n. 西班牙
Sparta	[3A]/'spa:tE/	n. 斯巴达（希腊南部的古代城邦）
Spartan	[3A]/'spBDt(E)n/	adj. 斯巴达的；斯巴达式的
Spears	[0]	n. 斯皮尔斯（姓氏）
Spector	[0]/'spektE	n. 斯佩克特（姓氏）
Spence	[0]/spens	n. 思朋斯（男子名，等于Spencer）
Spenser	[3A]/'spensE/	n. 斯宾塞（男子名）
Springs	[3A]//sprIN	n. 斯普林斯（南非东部城市名）
Sputnik	[0]/'spRtnIk	n. 人造卫星（前苏联制造）
Stacey	[0]/'steisi	n. 史黛丝（女子名）
Stacy	[0]/'steisi	n. 史黛西（女子名）；斯特西（男子名）
Stalin	[3A]/'sta:lin/	n. 斯大林（前苏联领导人）
Stamford	[3A]/'stAmfEd/	n. 斯坦福德（美国康涅狄格州西南部城市）
Stanford	[0]/'stAnfEd	n. 斯坦福（姓氏，男子名）；斯坦福大学（美国一所大学）
Stanley	[3A]/'stAnli/	n. 斯坦利（男子名）
Starr	[0]/stB:	n. 斯塔尔（姓氏）
Steele	[3A]/sti:l/	n. 斯蒂尔（姓氏）
Steinbeck	[3A]/'stainbek/	n. 斯坦贝克（姓氏）；斯坦贝克（美国作家， 曾获1962年诺贝尔文学奖）
Stella	[3A]/'stelE/	n. 斯特拉（女子名）
Sten	[0]/sten	n. 斯特恩式轻机关枪
Stephanie	[3A]/'stefEni/	n. 斯蒂芬妮（女子名）
Stephen	[3A]/'sti:vEn/	n. 斯蒂芬（男子名）
Stephenson	[0]/'sti:vnsn	n. 斯蒂芬森（姓氏）
Steve	[0]/sti:v	n. 史蒂夫（男子名）
Steven	[3A]//'stivEn	n. 史蒂文（男子名）
Stevens	[3A]/'sti:vnz/	n. 史蒂文斯（姓氏）
Stevenson	[3A]/'sti:vnsn/	n. 史蒂文森（姓氏）
Stewart	[3A]/'stju:Et; 'stju-/	n. [宝] 斯图尔特（男子名）
Stirling	[3A]/'stE:liN/	n. 斯特灵（英国苏格兰中部城市，中央区首府）
Stockholm	[3A]/'stOkhEum; 'stO:k,hO:lm/	n. 斯德哥尔摩（瑞典首都）
Stoic	[3A]/'stEJIk/'stoIk	n. 斯多葛学派哲学家；禁欲主义者
Stokes	[0]/stEuks	n. 斯托克斯（姓氏）
Strasbourg	[3A]/'stAsbE:ɡ; 'strB:z-/	n. 斯特拉斯堡（法国东北部城市）
Stratford	[3A]/'strAtfEd/	n. 斯特拉特福德（男子名及城市名）
Strine	[3A]/strain/	n. 老澳（对澳大利亚的谑称）
Stu	[0]/stju:	n. 斯图（男子名，等于Stuart）
Stuttgart	[3A]/'stRtɡB:t; 'stu-/	n. 斯图加特（德国城市）
Styx	[3A]/stiks/	n. 冥河（环绕地狱的河）
Sudan	[3A]//sJ'dAn	n. 苏丹（非洲国家）
Sudanese	[0]/,su:dE'ni:z	adj. 苏丹的；苏丹人的
Suggestions	[0]/sE'dGestFEnz	n. 民众意见箱；员工意见箱
Sullivan	[3A]/'sRlivEn/	n. 沙利文，苏利文（人名）
Sumatra	[3A]//sJ'mBtrE	n. [气象] 苏门答腊岛（印尼西部的大岛）
Summers	[0]/'sRmEz	n. 萨莫斯（人名）
Sumner	[3A]/'sRmnE/	n. 萨姆纳（男子名）
Sunday	[3A]/'sRndei/	n. 星期日；礼拜日
Sundays	[3A]/'sRndiz; -deiz/	adv. 每星期日
Suomi	[3A]/'suO:mi; su'O:mi; 'swO:-/	n. 芬兰语
Susa	[3A]/'su:sB:; -sE/	n. 苏萨（突尼斯东北部港市）；苏萨城（古波斯城市）
Susan	[3A]/'su:zEn/	n. 苏珊（女子名）
Susie	[0]/'su:zi	n. 苏西（女子名）
Sussex	[3A]/'sRsiks/	n. 苏塞克斯（英国郡名）
Susu	[3A]/'su:su:/	n. 苏苏人
Sutton	[0]/'sRtEn	n. 萨顿（英国英格兰东南部城市）
Suzhou	[0]/'su:dGEu	n. 苏州（位于江苏省）
Suzie	[0]/'su:zi	n. 苏西（女子名）
Suzy	[0]/su:zi	n. 苏西（女子名）
Svetlana	[0]/svet'lB:nE; sfet-	n. 斯维特拉娜（女子名）
Swansea	[3A]/'swOnsi; -zi/	n. 斯温西（英国威尔斯南部一海港）
Swarns	[0]/swO:nz	（姓）
Swede	[3A]/swiDd/swid	n. 瑞典人；瑞典甘蓝
Sweden	[3A]/'swi:dEn/	n. 瑞典（欧洲国家）
Swedish	[3A]//'swidIF	adj. 瑞典的；瑞典语的；瑞典人的
Swiss	[3A]/swIs/swIs	adj. 瑞士的；瑞士人的；瑞士风格的
Switzer	[3A]/'switsE/	n. 瑞士人
Switzerland	[3A]/'switsElEnd/	n. 瑞士（欧洲国家）
Sybase	[0]/'saibeis	n. 赛贝斯公司（美国数据库产品公司）
Syd	[0]/sid	n. 悉德（男子名）
Sydney	[3A]/'sidni/	n. 悉尼（澳大利亚港市）
Sylvania	[0]/sil'vB:niE	n. 西尔瓦尼亚（美国俄亥俄州西北部城镇）；森林城
Sylvia	[3A]/'silviE/	n. 西尔维亚（女子名）
Symbian	[0]/simbiEn	n. 智能移动终端操作系统
Syracuse	[0]/'sairEkju:z; 'si-; -kju:s	n. 锡拉库扎（意大利西西里岛东部一港市）
Syria	[3A]/'si:riE; 'si-/	n. 叙利亚共和国
T	[3A]/tiD/	symb. 氚（tritium）
TA	[0]/tB:	abbr. 助教（teaching assistant）；正切角（Tangent Angle）；顶部攻击（Top Attack）；技术援助（technical assistance）；公差表
TAI	[0]/tai; 'tB:i	abbr. 泰国国际航空公司（Thai Airways International）
TAOS	[0]/taus	abbr. 中美掩星计画
TB	[0]/,ti: 'bi	abbr. 肺结核（tuberculosis）
TD	[0]/,ti: 'di:	abbr. （美）财政部（Treasury Department）；任务说明书（Task Description）；反坦克自行火炮（Tank Destroyer）
TDS	[0]	abbr. 总溶解浓度（Total Dissolved Solids）
TE	[0]/ti	abbr. 瞄准角；仰角（tangent elevation）
TEL	[0]/tel	abbr. 试验仪器清单（Test Equipment List）
TET	[0]/tCt	abbr. 测试设备组（Test Equipment Team）
TF	[0]	abbr. 任务小组（task force）；本土军部队（Territorial Force）；直至遭禁为止（till forbidden）；转移因子（transfer factor）
THA	[0]/TE	abbr. 总碳氢分析器（Total Hydrocarbon Analyzer）；泰国（thailand）
THC	[0]/,ti:eitF'si:	abbr. 四氢大麻酚（tetrahydrocannabinol）
TI	[0]/ti	abbr. 目标识别（Target Identification）；美国德州仪器公司（Texas Instruments）
TINS	[0]/tinz	abbr. 炮塔综合夜间瞄准镜（Turret Integrated Night Sight）
TNT	[0]/,ti:en'ti:	n. 三硝基甲苯；黄色炸药
TOEFL	[0]/'tEufEl	abbr. 托福考试（Test of English as a Foreign Language）
TOYO	[0]/'tO:jEu	n. 日本东洋
TRA	[0]/'plektrE	abbr. 印度茶叶研究协会（Tea Research Association）；美国轮胎轮辋协会（Tireand Rim Association）；美国晶体管有限公司
TRI	[0]/traI	abbr. 产业研究所（Topology Research Institute）；技术报告说明书（Technical Report Instruction）
TRIPS	[0]/trIp	abbr. 与贸易有关的知识产权（Agreement On Trade-related Aspects of Intellectual Property Right）
TS	[0]/ti:z	abbr. 试验装置（Test Set）；易性恋者（TransSexual）；拉伸强度（tensile strength）；锥形柄（tapered shank）
TV	[3A]/'ti:'vi:/	abbr. 电视（television）
Taal	[3A]/tBDl/	n. 塔尔语（南非荷兰语）；塔阿尔（菲律宾吕宋岛西南塔阿尔湖上的活火山）
Tacoma	[3A]/tE'kEumE/	n. 塔科马港市（美国华盛顿州西部港市）
Taft	[3A]/tAft;ta:ft/	n. 塔夫脱（姓氏）
Tahiti	[3A]/tB:'hi:ti; tE-/	n. 塔希提岛（位于南太平洋，法属波利西亚的经济活动中心）
Taipei	[3A]/'tai'pei; -'bei/	n. 台北
Taiwan	[0]/'taI'wBn	n. 台湾
Talmud	[3A]/'tAlmud; -mEd; 'tB:l-/	n. 犹太法典
Tampa	[0]/'tAmpE	n. 坦帕市（美国佛罗里达州西部港市）
Tanya	[0]/'tAnjE	n. 塔尼娅（女子名）
Tanzania	[3B]/,tAnzE'niE; ,tB:nzB:'ni:B:/	n. 坦桑尼亚（东非国家）
Tarzan	[0]/'tB:zAn; -zEn	n. 泰山（美国影片人猿泰山的主人公）；健壮、灵活的男子
Tasmania	[0]/tAz'meiniE; -njE	n. 塔斯马尼亚岛（位于澳洲东南方）
Tate	[0]/teit	n. 塔特（姓氏）
Taurus	[3A]/'tO:rEs/	n. [天] 金牛座；金牛宫
Tay	[0]/tei	n. 泰河（北海的港湾，位于英国苏格兰中部）；茶（爱尔兰方言，等于tea）
Taylor	[0]/'teilE	n. 泰勒
Ted	[1]/ted	n. 特德（男子名）
Tehran	[0]/tεE'rAn; -rB:n	n. 德黑兰
Telstar	[0]/'telsta:	n. 通讯卫星的一种
Telugu	[0]/'telEɡu:	n. 泰卢固语（印度东部德拉维拉语言）；泰卢固人
Tenjin	[0]/'tenjin	n. 天神节（日语）
Tennessee	[3B]/,teni'si:/	n. 田纳西州（美国州名）
Tenny	[0]/'teni	n. 坦尼（姓氏）
Tennyson	[0]/'tenisn	n. 坦尼森（姓氏）
Teresa	[0]/te'resB:	n. 特里萨（女名）
Tess	[0]/tes	n. 泰丝（女子名）
Tessie	[0]/'tesi	n. 泰茜（女子名，等于Theresa，Tess）
Texan	[0]/'teksEn	adj. 得克萨斯州的；德克萨斯州人的
Texas	[0]/'teksEs	n. 德克萨斯州（美国州名）
Thai	[3A]/tai/	n. 泰国人；泰国语
Thailand	[3A]/'tailAnd; -lEnd/	n. 泰国（东南亚国家名）
Thalia	[0]/ZE'laiE; 'ZeiliE	n. 塔利亚（希腊神话中的缪斯之一）
Thames	[0]/temz	n. （伦敦的）泰晤士河
Thanksgiving	[0]/,ZANks'ɡIvIN	n. 感恩节
Thea	[0]/'Zi:E; ZiE	n. 西娅（女子名）
Thebe	[0]/'tebC	n. [天] 木卫十四；忒拜（地名）；塞柏（博茨瓦纳一地名）
Thebes	[0]/Zi:bz	n. 底比斯（古希腊Boeotia的主要城邦）
Thelma	[0]/'ZelmE	n. 西尔玛（女子名）
Theodore	[3A]/'Zi:EdO:; 'ZiE-/	n. 希欧多尔（男子名）
Theresa	[0]/tE'ri:sE	n. 特丽萨（女子名）
Theseus	[0]/'Zi:sju:s; -siEs	n. （希腊）提修斯（Attica的英雄）
Thespian	[3A]/'ZespIEn/'ZCspIEn	adj. 戏剧的；悲剧性的；泰斯庇斯的
Thetis	[0]/'Zetis; 'Zi:-	n. 西蒂斯（海神Nereus的女儿）
Thomas	[3A]/'tOmEs/	n. 托马斯（男子名）；多马（耶稣十二门徒之一）
Thompson	[3A]/'tOmpsn/	n. 汤普森（姓）
Thomson	[3A]/'tOmsn/	n. 汤姆森（①姓氏 ②Sir George Paget， 1892-1975， 英国物理学家， 曾获1937年诺贝尔物理学奖 ③Sir Joseph John， 1856-1940， 英国物理学家， 曾获1906年诺贝尔物理学奖）
Thor	[3A]/ZO:/	n. 托尔（北欧神话中司雷、战争及农业的神）
Thornton	[0]/'ZO:ntEn	n. 桑顿（姓氏）
Thrace	[3A]/Zreis/	n. 色雷斯（自爱琴海至多瑙河的巴尔干半岛东南部地区）
Thule	[3A]/'Zju:li:; -li/	n. 极北之地；古人相信存在于世界北端的国家
Thursday	[3A]/'ZHDzdeI; -dI/'ZKzdI	n. 星期四
Thursdays	[3A]/'ZE:zdiz; -deiz/	adv. 每星期四；在任何星期四
Tianjin	[0]/'tjB:n'dGin	n. 天津（中国一城市）
Tiber	[3A]/'taibE/	n. 台伯河（意大利中部，流经罗马）
Tibet	[3A]/ti'bet/	n. 西藏（中国一自治区）
Tigris	[3A]/'taigris/	n. 底格里斯河（西南亚，流经土尔其和伊拉克）
Tijuana	[3A]/ti:'hwB:nE; -nB:/	n. 提华纳（墨西哥西北部城市）
Tiki	[3A]/'tIkI/	n. 提基（波利尼西亚神话中人类的始祖）；木或石刻的提基像；提基像做的护身符
Tim	[0]/tim	n. 蒂姆（男子名）
Timmy	[0]/'timi	n. 蒂米（男子名）
Timon	[0]/'taimEn	n. 泰门（希腊哲学家）
Tina	[0]/'ti:nE	n. 蒂娜（女子名）
Tirana	[3A]/ti'rB:nE; ti:'rB:nB:/	n. 地拉那（阿尔巴尼亚的首都）
Titan	[3A]/'taitEn/	n. 巨人；提坦；太阳神
Titanic	[3A]/taI'tAnIk/taI'tAnIk	n. 泰坦尼克（轮船名）
Tito	[3A]/'ti:tEu/	n. 提托（男子名）
Titus	[3A]/'taitEs/	n. 提图斯（古罗马皇帝）；《提多书》（《圣经》的一卷）
Tobago	[3A]/tE'beiɡEu/	n. 多巴哥岛（南美洲特立尼达和多巴哥的第二大岛）
Tod	[0]/tBd	n. 托德（男子名）
Todd	[0]/tOd	n. 托德（姓氏，英国化学家，曾获1957年诺贝尔化学奖）
Togo	[3A]/'tEuɡEu/	n. 多哥（西非国家）
Tokio	[0]/'tEukjEu; -kiEu; 'tO:kjO:	n. 东京（日本首都，等于Tokyo）
Tokyo	[3A]/'tEukjEu; -kiEu; 'tO:kjO:/	n. 东京（日本首都）
Toledo	[3A]/tE'li:dEu/	n. 托莱多（美国港市）
Toler	[0]	n. 托勒（姓氏）
Tom	[3A]/tLm/tBm	n. 汤姆（男子名）
Toni	[0]/'tEuni	n. 托妮（女子名）
Tony	[3A]/'tEJnI/'toni	n. 托尼（男名）
Topeka	[3A]/tE'pi:kE/	n. 托皮卡（美国堪萨斯州之首府）
Tories	[0]/'tO:ris	英国托利派；王党保守党
Toronto	[3A]/tE'rOntEu/	n. 多伦多（加拿大城市）
Tory	[3A]/'tO:ri; 'tEu-/	n. 保守党员
Toulouse	[3A]/tu:'lu:z/	n. 图卢兹（法国南部城市）
Tours	[3A]/tuE; tu:r/	n. 图尔斯（姓氏）；图尔市（法国城市名）
Towe	[0]/tEu	n. 北京同为（公司名）
Toynbee	[3A]/'tOinbi/	托因比（姓氏）
Toyota	[0]/'tEujEutE	n. 日本丰田汽车（公司名）
Tracy	[0]/'treisi	n. 特蕾西（女子名）
Transformers	[2B]	n. 变形金刚（电影名）；变形金刚玩具
Transylvania	[3A]/,trAnsil'veiniE; -njE/	n. 特兰西瓦尼亚
Trent	[3A]/trent/	n. 特伦特（男子名）；特伦托河（英格兰中部河流）
Trenton	[3A]/'trentEn/	n. 特伦顿（美国新泽西州首府）
Trinidad	[3A]/'trinidAd; ,tri:ni'TB:T/	n. 特立尼达拉岛
Tristan	[3A]/tri'stEn/	n. 特里斯坦（人名）
Trotsky	[3A]/'trOtski/	n. 托洛茨基（前苏联托洛茨基集团领袖，后被开除出党）
Troy	[3A]/trLI/trOI	n. 特洛伊（小亚细亚西北部的古城）；特洛伊（美国纽约州一城市）
Trudy	[0]/'tru:di	n. 特鲁迪（女子名，Gertrude的昵称）
Truman	[3A]/'tru:mEn/	n. 杜鲁门（男子名）
Tuan	[0]/tu:'B:n; tu-	n. （马来语）先生；（马来语）老爷
Tucson	[3A]/'tu:sOn; tu:'sOn/	n. 图森（美国亚利桑那州南部城市）
Tuesday	[3A]/'tjuDzdeI; -dI/'tJzde; 'tJzdi	n. 星期二
Tulsa	[3A]/'tRlsE/	n. 塔尔萨（美国俄克拉菏马州东北部城市）
Tunis	[3A]/'tju:nis/	n. 突尼斯（突尼斯首都）
Tunisia	[3A]/tju:'niziE; -siE/	n. 突尼斯（非洲国家）
Tunisian	[0]/tju:'niziEn; -FEn	adj. 突尼斯的；突尼斯人的
Turin	[3A]/'tjuErin; tju'rin/	n. 都灵（意大利城市）
Turing	[0]/'tjuEriN	n. 图灵机（一种可不受储存容量限制的假想计算机）
Turner	[3A]/'tHDnE/'tKnM	n. 特纳（姓氏）
Tuscan	[3A]/'tRskEn/	n. 托斯卡纳人；托斯卡纳语
Tuscany	[3A]/'tRskEni/	n. 托斯卡纳区（意大利行政区名）
Tuttle	[0]/'tRtl	n. 塔特尔（姓氏）
Tyler	[3A]/'tailE/	n. 泰勒（男子名）；秘密会所看守人（共济会的）
Tyndall	[0]/'tindl	n. 廷德尔（姓氏）；廷德尔（英国物理学家）
UART	[0]/'ju:,a:t	abbr. 通用非同步收发传输器（Universal Asynchronous Receiver／Transmitter）
UEFA	[0]/ju'eifE	abbr. 欧洲足球协会联盟（Union of European Football Association）
UFO	[3A]/'ju:fEu/	abbr. 不明飞行物（Unidentified Flying Object）
UHF	[0]/,ju: eitF 'ef	abbr. 超高频（Ultra High Frequency）
UK	[0]/ju: 'kei	abbr. 联合王国（United Kingdom）
UN	[0]/Rn; En	abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
UNA	[0]/'u:nE	abbr. 联合国协会（United Nations Association）
UNESCO	[3A]/ju:'neskEu/	abbr. 联合国教科文组织（United Nations Educational，Scientific，and Cultural Organization）
UNI	[0]/'juni	abbr. 印度联合新闻社（United News of India）
UNICEF	[3A]/'ju:nisef/	abbr. 联合国儿童基金会（等于United Nations International Children'sEmergency Fund）
UNO	[0]/'ju:nEu	abbr. 联合国组织（United Nations Organization）
UPC	[0]/,ju: pi: 'si:	abbr. 单件生产成本（Unit Production Costs）；通用产品代码（Universal Product Code）
USA	[0]/ju: es 'ei	abbr. 美国；美利坚合众国（the United States of America）
USSR	[0]/,ju: es es 'a:(r)	abbr. 苏维埃社会主义共和国联盟（Union of Soviet Socialist Republics）
UT	[0]/Rt	abbr. 美国犹他州（Utah）；超声试验（Ultrasonic Test）；停歇时间（Unemployed Time）
Ubuntu	[0]/J'bJntJ	n. 乌班图；一种Linux操作系统
Udall	[3A]/'ju:dEl/	n. 尤德尔（姓氏）
Uganda	[3A]/ju:'ɡAndE/	n. 乌干达（非洲国家）
Ukraine	[0]/ju:'krein; -'krain	n. 乌克兰（原苏联一加盟共和国，现已独立）
Ukrainian	[3A]/ju:'kreiniEn; -'krai-/	adj. 乌克兰的；乌克兰人的
Ulysses	[3A]/ju(:)'lisi:z/	n. 尤里西斯（希腊神话中男子名，也是爱尔兰意识流文学作家詹姆斯·乔伊斯小说名）
Unix	[0]/'jJnIks	n. 一种多用户的计算机操作系统
Upton	[0]/'RptEn	n. 厄普顿（男子名）
Ur	[3A]//Jr	n. 乌尔（古代美索不达亚南部苏美尔的重要城市）
Urania	[3A]//jJ'renIE	n. 乌拉尼亚（司天文的女神，维纳斯的别称）；二氧化铀（等于uranium dioxide）
Uranus	[3A]/'juErEnEs/	n. [天] 天王星
Urdu	[3A]/'uEdu:/	n. 乌尔都语
Ursa	[0]/'E:sE	n. 大熊星座（等于Ursa Major）；小熊星座（等于Ursa Minor）
Ursula	[3A]/'E:sjulE/	n. 厄休拉（女子名）
Uruguay	[3A]/'juErEɡwei/	n. 乌拉圭（拉丁美洲国家）
Uruguayan	[0]/juErE'gwaiEn	n. 乌拉圭人
Utah	[3A]/'ju:tB:/	n. 美国犹他州
Ute	[3A]/juDt/	n. 犹特人（美洲印第安人的一种）
Utica	[3A]/'ju:tikE/	n. 尤蒂卡（美国纽约州中部城市）
Utils	[0]	n. 为全文索检目录的文件
Utopia	[3A]/ju:'tEupiE/	n. 乌托邦（理想中最美好的社会）；理想国
Utrecht	[3A]/'ju:trekt/	n. 乌特勒支（荷兰一城市名）
VAR	[0]/va:(r)	abbr. 加值型经销商（value-added reseller）；垂直机载火箭（Vertical Aircraft Rocket）
VAT	[0]/'vi 'e 'ti	abbr. 增值税（Value Added Tax）
VD	[0]/,vi: 'di:	abbr. 性病（Venereal Disease）；真空蒸馏（Vacuum Distillation）；地窖门（Vault Door）；通风天窗（Ventilating Deadligh）；电压检测法（Voltage Detector）
VERA	[0]/'viErE	abbr. 通用实验性反应堆装置（Versatile Experimental Reactor Assembly ）
VHF	[0]/,vi: eitF 'ef	abbr. 甚高频（Very High Frequency）
VHS	[0]/,vi:eitF'es	abbr. 家用录像系统（Video Home System）
VIP	[0]/'vi 'aI 'pi	abbr. 大人物，贵宾（Very Important Person）；视频接口处理器（Video Interface Processor）；可变信息处理（Variable Information Processing）
VP	[0]/,vi: 'p	abbr. 副总统（Vice President）；动词短语（Verb Phrsase）
VRAM	[0]/'vi:'rem	abbr. 视讯随机存取记忆体（Video RAM）
Valerie	[3A]/'vAlEri/	n. 瓦莱丽（女子名）
Valium	[3A]/'veiliEm/	n. [药] 安定（商标名称）
Valkyrie	[3A]/vAl'kiEri/	n. （北欧神话中奥丁神的婢女之一）瓦尔基里
Vance	[0]/vAns	n. 万斯（男子名）
Vancouver	[3A]/vAn'ku:vE/	n. 温哥华（加拿大主要港市）
